"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","45028  >  43285 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2938729043 TSecr=0 WS=128"
"2","0.000086435","127.0.0.1","127.0.0.1","TCP","74","43285  >  45028 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=2938729044 TSecr=2938729043 WS=128"
"3","0.000157926","127.0.0.1","127.0.0.1","TCP","66","45028  >  43285 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2938729044 TSecr=2938729044"
"4","0.001114896","127.0.0.1","127.0.0.1","HTTP","100","GET /hello_world.html HTTP/1.1 "
"5","0.001154673","127.0.0.1","127.0.0.1","TCP","66","43285  >  45028 [ACK] Seq=1 Ack=35 Win=65536 Len=0 TSval=2938729045 TSecr=2938729044"
"6","0.002668518","127.0.0.1","127.0.0.1","TCP","84","43285  >  45028 [PSH, ACK] Seq=1 Ack=35 Win=65536 Len=18 TSval=2938729046 TSecr=2938729044 [TCP segment of a reassembled PDU]"
"7","0.002719732","127.0.0.1","127.0.0.1","TCP","66","45028  >  43285 [ACK] Seq=35 Ack=19 Win=65536 Len=0 TSval=2938729046 TSecr=2938729046"
"8","0.003164405","127.0.0.1","127.0.0.1","TCP","106","43285  >  45028 [PSH, ACK] Seq=19 Ack=35 Win=65536 Len=40 TSval=2938729047 TSecr=2938729046 [TCP segment of a reassembled PDU]"
"9","0.003193089","127.0.0.1","127.0.0.1","TCP","66","45028  >  43285 [ACK] Seq=35 Ack=59 Win=65536 Len=0 TSval=2938729047 TSecr=2938729047"
"10","0.003330454","127.0.0.1","127.0.0.1","TCP","68","HTTP/1.1 200 OK   [TCP segment of a reassembled PDU]"
"11","0.003355551","127.0.0.1","127.0.0.1","TCP","54","45028  >  43285 [RST] Seq=35 Win=0 Len=0"
"12","0.003386722","127.0.0.1","127.0.0.1","TCP","66","45028  >  43285 [RST, ACK] Seq=35 Ack=59 Win=65536 Len=0 TSval=2938729047 TSecr=2938729047"
