"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","::1","::1","TCP","94","34992  >  12000 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1197731085 TSecr=0 WS=128"
"2","0.000060582","::1","::1","TCP","74","12000  >  34992 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.000289559","127.0.0.1","127.0.0.1","TCP","74","34662  >  12000 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2597563842 TSecr=0 WS=128"
"4","0.000338245","127.0.0.1","127.0.0.1","TCP","74","12000  >  34662 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=2597563842 TSecr=2597563842 WS=128"
"5","0.000385630","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2597563842 TSecr=2597563842"
"6","0.025769221","::1","::1","TCP","94","34998  >  12000 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1197731111 TSecr=0 WS=128"
"7","0.025785883","::1","::1","TCP","74","12000  >  34998 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"8","0.025963539","127.0.0.1","127.0.0.1","TCP","74","34664  >  12000 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2597563868 TSecr=0 WS=128"
"9","0.025990161","127.0.0.1","127.0.0.1","TCP","74","12000  >  34664 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=2597563868 TSecr=2597563868 WS=128"
"10","0.026014045","127.0.0.1","127.0.0.1","TCP","66","34664  >  12000 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2597563868 TSecr=2597563868"
"11","0.026948260","127.0.0.1","127.0.0.1","HTTP","768","GET /hello_world.html HTTP/1.1 "
"12","0.026993869","127.0.0.1","127.0.0.1","TCP","66","12000  >  34662 [ACK] Seq=1 Ack=703 Win=64896 Len=0 TSval=2597563869 TSecr=2597563869"
"13","0.027999103","127.0.0.1","127.0.0.1","TCP","84","12000  >  34662 [PSH, ACK] Seq=1 Ack=703 Win=65536 Len=18 TSval=2597563870 TSecr=2597563869 [TCP segment of a reassembled PDU]"
"14","0.028047754","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [ACK] Seq=703 Ack=19 Win=65536 Len=0 TSval=2597563870 TSecr=2597563870"
"15","0.028206331","127.0.0.1","127.0.0.1","TCP","106","12000  >  34662 [PSH, ACK] Seq=19 Ack=703 Win=65536 Len=40 TSval=2597563870 TSecr=2597563870 [TCP segment of a reassembled PDU]"
"16","0.028217567","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [ACK] Seq=703 Ack=59 Win=65536 Len=0 TSval=2597563870 TSecr=2597563870"
"17","0.028263844","127.0.0.1","127.0.0.1","TCP","68","12000  >  34662 [PSH, ACK] Seq=59 Ack=703 Win=65536 Len=2 TSval=2597563870 TSecr=2597563870 [TCP segment of a reassembled PDU]"
"18","0.028271357","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [ACK] Seq=703 Ack=61 Win=65536 Len=0 TSval=2597563870 TSecr=2597563870"
"19","0.028311515","127.0.0.1","127.0.0.1","TCP","357","12000  >  34662 [PSH, ACK] Seq=61 Ack=703 Win=65536 Len=291 TSval=2597563870 TSecr=2597563870 [TCP segment of a reassembled PDU]"
"20","0.028319339","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [ACK] Seq=703 Ack=352 Win=65280 Len=0 TSval=2597563870 TSecr=2597563870"
"21","0.028381563","127.0.0.1","127.0.0.1","HTTP","66","HTTP/1.1 200 OK   (text/html)"
"22","0.032010448","127.0.0.1","127.0.0.1","TCP","66","34662  >  12000 [FIN, ACK] Seq=703 Ack=353 Win=65536 Len=0 TSval=2597563873 TSecr=2597563870"
"23","0.032092734","127.0.0.1","127.0.0.1","TCP","66","12000  >  34662 [ACK] Seq=353 Ack=704 Win=65536 Len=0 TSval=2597563874 TSecr=2597563873"
"24","2.583962209","127.0.0.1","127.0.0.1","TCP","66","34664  >  12000 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2597566426 TSecr=2597563868"
"25","2.585146765","127.0.0.1","127.0.0.1","TCP","66","12000  >  34664 [ACK] Seq=1 Ack=2 Win=65536 Len=0 TSval=2597566427 TSecr=2597566426"
"26","2.604448851","127.0.0.1","127.0.0.1","TCP","66","12000  >  34664 [FIN, ACK] Seq=1 Ack=2 Win=65536 Len=0 TSval=2597566446 TSecr=2597566426"
"27","2.604519040","127.0.0.1","127.0.0.1","TCP","66","34664  >  12000 [ACK] Seq=2 Ack=2 Win=65536 Len=0 TSval=2597566446 TSecr=2597566446"
