"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"2","0.000583","134.10.136.232","134.10.133.158","LLC","46","I P, N(R)=35, N(S)=39; DSAP 0x50 Individual, SSAP 0x48 Response"
"3","0.008367","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"4","5.119768","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"5","10.013291","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"6","10.013652","134.10.136.232","134.10.133.158","LLC","46","I P, N(R)=35, N(S)=39; DSAP 0x50 Individual, SSAP 0x48 Response"
"7","10.021131","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"8","10.021272","134.10.136.232","134.10.133.158","LLC","46","I P, N(R)=35, N(S)=39; DSAP 0x50 Individual, SSAP 0x48 Response"
"9","10.028963","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"10","15.031090","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"11","15.031696","134.10.136.232","134.10.133.158","LLC","46","I P, N(R)=35, N(S)=39; DSAP 0x50 Individual, SSAP 0x48 Response"
"12","15.038723","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"13","15.038904","134.10.136.232","134.10.133.158","LLC","46","I P, N(R)=35, N(S)=39; DSAP 0x50 Individual, SSAP 0x48 Response"
"14","15.046492","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
"15","20.068308","134.10.133.158","134.10.136.232","LLC","56","I P, N(R)=51, N(S)=55; DSAP 0x70 Individual, SSAP 0x68 Response"
